30.289422,59.925236,"Санкт-Петербург,улица Декабристов,37",2023-05-02 23:10:52
30.294318,59.925159,"Санкт-Петербург,улица Декабристов,34",2023-05-02 10:35:15
30.286574,59.925543,"Санкт-Петербург,улица Писарева,18Б",2023-05-02 04:35:55
30.284077,59.924686,"Санкт-Петербург,Английский проспект,24",2023-05-02 18:13:49
30.288622,59.928041,"Санкт-Петербург,набережная реки Мойки,108",2023-05-02 23:34:05
30.280609,59.926251,"Санкт-Петербург,набережная реки Пряжки,4-6",2023-05-02 21:15:32
30.286161,59.92617,"Санкт-Петербург,улица Писарева,18",2023-05-02 16:56:20
30.283107,59.927112,"Санкт-Петербург,Английский проспект,4",2023-05-02 00:13:26
30.28926,59.926882,"Санкт-Петербург,улица Декабристов,35З",2023-05-02 03:24:42
30.292745,59.926305,"Санкт-Петербург,переулок Матвеева,2",2023-05-02 19:00:43
30.289422,59.925236,"Санкт-Петербург,улица Декабристов,37",2023-05-02 15:16:07
30.294318,59.925159,"Санкт-Петербург,улица Декабристов,34",2023-05-02 05:28:11
30.286574,59.925543,"Санкт-Петербург,улица Писарева,18Б",2023-05-02 17:40:37
30.284077,59.924686,"Санкт-Петербург,Английский проспект,24",2023-05-02 07:12:20
30.288622,59.928041,"Санкт-Петербург,набережная реки Мойки,108",2023-05-02 20:32:45
30.280609,59.926251,"Санкт-Петербург,набережная реки Пряжки,4-6",2023-05-02 14:47:43
30.286161,59.92617,"Санкт-Петербург,улица Писарева,18",2023-05-02 23:50:26
30.283107,59.927112,"Санкт-Петербург,Английский проспект,4",2023-05-02 16:55:37
30.28926,59.926882,"Санкт-Петербург,улица Декабристов,35З",2023-05-02 01:10:28
30.292745,59.926305,"Санкт-Петербург,переулок Матвеева,2",2023-05-02 09:04:16
30.204351,59.987407,"г. Санкт-Петербург,Савушкина,д.126",2023-05-02 19:21:46
30.422094,59.950682,"г. Санкт-Петербург,проспект Металлистов,д.7",2023-05-02 04:57:00
30.330124,59.979322,"г. Санкт-Петербург,Большой Сампсониевский проспект,д.68",2023-05-02 17:23:12
30.266048,59.950335,"г. Санкт-Петербург,Уральская,д.4",2023-05-02 06:17:05
30.214709,59.981663,"г. Санкт-Петербург,Приморский проспект,д. 70 ст1",2023-05-02 17:04:33
30.21452,59.850798,"г. Санкт-Петербург,Жукова,д. 43 ст2",2023-05-02 07:23:42
30.39209,59.934511,"г. Санкт-Петербург,Синопская набережная,д.52",2023-05-02 02:35:34
30.28422,59.931513,"г. Санкт-Петербург,Английская набережная,д.70",2023-05-02 08:28:12
30.323836,59.901766,"г. Санкт-Петербург,Киевская,д. 5 к4",2023-05-02 20:45:28
30.377448,59.914385,"г. Санкт-Петербург,набережная Обводного канала,д. 24 лит Д",2023-05-02 11:14:17
30.320198,59.890627,"г. Санкт-Петербург,Московский проспект,д.118",2023-05-02 19:11:22
30.260208,59.943895,"г. Санкт-Петербург,17-я линия В.О.,д.54",2023-05-02 02:21:56
30.319515,59.901743,"г. Санкт-Петербург,Московский проспект,д.94",2023-05-02 03:59:11
30.247902,59.994882,"г. Санкт-Петербург,Оптиков,д. 4 к3",2023-05-02 16:13:04
30.42063,59.931977,"г. Санкт-Петербург,Заневский проспект,д. 30 к2",2023-05-02 23:00:00
30.255079,59.947306,"г. Санкт-Петербург,набережная реки Смоленки,д.33",2023-05-02 19:32:30
30.325803,59.892843,"г. Санкт-Петербург,Лиговский проспект,д. 270 лит Б",2023-05-02 22:33:02
30.342198,59.957787,"г. Санкт-Петербург,Финляндский проспект,д. 4 лит А",2023-05-02 15:15:52
30.294237,59.949496,"г. Санкт-Петербург,проспект Добролюбова,д. 16 лит А",2023-05-02 06:27:27
30.334095,59.96389,"г. Санкт-Петербург,Петроградская набережная,д. 36 лит А",2023-05-02 10:01:23
30.311592,59.884537,"г. Санкт-Петербург,Рощинская,д. 3 к2 ст2",2023-05-02 15:40:56
30.316443,59.896635,"г. Санкт-Петербург,Малая Митрофаньевская,д.1",2023-05-02 13:15:23
30.313173,59.958174,"г. Санкт-Петербург,Кронверкская,д.5",2023-05-02 20:29:08
30.346644,59.928194,"г. Санкт-Петербург,Владимирский проспект,д. 23 лит А",2023-05-02 14:43:45
30.298881,59.96829,"г. Санкт-Петербург,Всеволода Вишневского,д.12",2023-05-02 19:45:29
30.316281,59.969232,"г. Санкт-Петербург,проспект Медиков,д. 3а",2023-05-02 12:52:07
30.276001,59.942025,"г. Санкт-Петербург,Средний проспект В.О.,д. 36/40",2023-05-02 01:36:55
30.338335,59.965953,"г. Санкт-Петербург,Пироговская набережная,д.21",2023-05-02 03:51:35
30.29818,59.932703,"г. Санкт-Петербург,Конногвардейский бульвар,д.4",2023-05-02 17:59:59
30.347165,59.928776,"г. Санкт-Петербург,Владимирский проспект,д.17",2023-05-02 04:50:21
30.360074,59.920632,"г. Санкт-Петербург,Черняховского,д.59",2023-05-02 08:09:10
30.265823,59.93786,"г. Санкт-Петербург,18-я линия В.О.,д. 29 лит И",2023-05-02 16:48:22
30.339952,59.98706,"г. Санкт-Петербург,Лесной проспект,д.64",2023-05-02 17:21:18
30.346366,59.917966,"г. Санкт-Петербург,Боровая,д.32",2023-05-02 00:54:25
30.370899,59.939262,"г. Санкт-Петербург,Фуражный переулок,д.3",2023-05-02 12:07:33
30.285954,59.910474,"г. Санкт-Петербург,набережная Обводного канала,д. 199-201 лит П",2023-05-02 11:41:12
30.320117,59.958886,"г. Санкт-Петербург,Каменноостровский проспект,д. 11 к2 лит А",2023-05-02 03:15:46
30.311835,59.972321,"г. Санкт-Петербург,Профессора Попова,д. 23 лит Д",2023-05-02 16:57:31
30.403121,59.961674,"г. Санкт-Петербург,Свердловская набережная,д. 44 лит Я",2023-05-02 17:32:31
30.35225,59.918476,"г. Санкт-Петербург,Лиговский проспект,д. 123 лит А",2023-05-02 13:24:58
30.402385,59.931319,"г. Санкт-Петербург,Малоохтинский проспект,д. 64 лит Б",2023-05-02 11:01:23
30.376855,59.956367,"г. Санкт-Петербург,Свердловская набережная,д. 4 лит Б",2023-05-02 08:07:33
30.313523,59.959012,"г. Санкт-Петербург,Мира,д.3",2023-05-02 14:35:45
30.344722,59.9341,"г. Санкт-Петербург,набережная реки Фонтанки,д. 38а",2023-05-02 03:51:05
30.289107,59.901549,"г. Санкт-Петербург,Маршала Говорова,д.52",2023-05-02 15:55:53
30.357954,59.921471,"г. Санкт-Петербург,Черняховского,д. 52 лит Г",2023-05-02 11:16:14
30.322336,59.97631,"г. Санкт-Петербург,Инструментальная,д. 3 лит Х",2023-05-02 20:02:43
30.323279,59.935462,"г. Санкт-Петербург,Невский проспект,д.25",2023-05-02 04:52:02
30.21638,59.997329,"г. Санкт-Петербург,Яхтенная,д. 22а к1",2023-05-02 16:08:22
30.356589,59.931887,"г. Санкт-Петербург,Невский проспект,д.104",2023-05-02 22:55:24
30.334841,59.97273,"г. Санкт-Петербург,Выборгская набережная,д. 45 лит Е",2023-05-02 14:48:19
30.298881,59.96829,"г. Санкт-Петербург,Всеволода Вишневского,д. 12а",2023-05-02 15:36:44
30.321438,59.963863,"г. Санкт-Петербург,Рентгена,д.7",2023-05-02 14:59:06
30.285739,59.909797,"г. Санкт-Петербург,набережная Обводного канала,д. 199-201 лит В",2023-05-02 08:27:21
